cat,VEGDESC,VEG_ID,F_CODEDESC,F_CODE,AREA_KM2,area,perimeter
35.000,Mixed Trees,50.000,Trees,EC030,101.232,1089664637.9873,218696.299830022
36.000,Mixed Trees,50.000,Trees,EC030,229.181,2466908182.55762,404793.072109608
37.000,Deciduous,24.000,Trees,EC030,353.318,3803148736.95654,458549.471330957
42.000,Mixed Trees,50.000,Trees,EC030,535.851,5767991222.15576,528445.286673436
43.000,Mixed Trees,50.000,Trees,EC030,295.758,3183507397.65576,392973.151529459
44.000,Mixed Trees,50.000,Trees,EC030,276.251,2973636827.03955,270808.836450852
45.000,Mixed Trees,50.000,Trees,EC030,392.284,4222756057.27686,449092.358413145
46.000,Mixed Trees,50.000,Trees,EC030,111.145,1196353701.94629,169509.788722871
47.000,Mixed Trees,50.000,Trees,EC030,129.118,1389760670.51978,278150.44576422
48.000,Mixed Trees,50.000,Trees,EC030,136.304,1467139880.23193,301326.613722701
49.000,Mixed Trees,50.000,Trees,EC030,126.077,1356900710.78271,246830.051348089
50.000,Mixed Trees,50.000,Trees,EC030,244.795,2635005706.21191,396528.959594044
51.000,Mixed Trees,50.000,Trees,EC030,413.327,4449021397.04102,426462.366133688
52.000,Mixed Trees,50.000,Trees,EC030,115.950,1248118068.45801,275463.026657584
53.000,Mixed Trees,50.000,Trees,EC030,123.061,1324629753.62109,257474.254736867
54.000,Mixed Trees,50.000,Trees,EC030,110.979,1194598391.83191,229429.493177437
55.000,Mixed Trees,50.000,Trees,EC030,268.523,2890341618.86621,387551.771155184
11.000,Deciduous,24.000,Trees,EC030,123.645,1330869287.56348,175533.802431193
12.000,Deciduous,24.000,Trees,EC030,123.845,1333205468.65082,162485.193096338
